latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,daynight,brightness,frp,log_frp,delta_brightness,confidence_enc,land_use_type,distance_to_industrial,historical_frequency,time_of_day,season,month,category
8.3754,81.1614,336.39,0.38,0.36,2026-08-31,807,N,VIIRS,l,2.0NRT,307.17,D,336.39,3.98,1.6054298910365616,29.22,0,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.4223,81.09,340.12,0.38,0.36,2026-08-31,807,N,VIIRS,l,2.0NRT,310.14,D,340.12,3.98,1.6054298910365616,29.98,0,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.92234,80.68958,340.84,0.47,0.48,2026-08-27,744,N,VIIRS,n,2.0NRT,287.91,D,340.84,5.85,1.9242486522741338,52.93,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.99971,80.67416,308.64,0.38,0.36,2026-08-27,2017,N,VIIRS,n,2.0NRT,291.14,N,308.64,1.16,0.7701082216960736,17.5,1,unknown,50000.0,0,Evening,Monsoon,8,Anomaly/Unclassified
8.72573,80.74754,337.93,0.49,0.65,2026-08-28,724,N,VIIRS,n,2.0NRT,291.49,D,337.93,7.24,2.1090003439213802,46.44,1,unknown,50000.0,0,Morning,Monsoon,8,Wildfire Risk
8.97291,80.68935,336.86,0.49,0.65,2026-08-28,724,N,VIIRS,n,2.0NRT,287.05,D,336.86,7.29,2.1150499691472033,49.81,1,unknown,50000.0,1,Morning,Monsoon,8,Wildfire Risk
8.51151,80.56882,332.96,0.38,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,300.44,D,332.96,4.3,1.667706820558076,32.52,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.51499,80.74651,334.79,0.38,0.36,2026-08-31,807,N,VIIRS,l,2.0NRT,309.49,D,334.79,9.52,2.3532782073095637,25.3,0,unknown,50000.0,0,Morning,Monsoon,8,Wildfire Risk
8.55709,80.62238,336.88,0.38,0.36,2026-08-31,807,N,VIIRS,l,2.0NRT,306.97,D,336.88,5.71,1.9035989509835904,29.91,0,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.55763,80.62587,339.42,0.38,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,308.82,D,339.42,7.3,2.1162555148025524,30.6,1,unknown,50000.0,0,Morning,Monsoon,8,Wildfire Risk
8.56241,80.85677,347.43,0.38,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,309.81,D,347.43,6.27,1.9837562915454279,37.62,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.57523,80.74078,334.55,0.38,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,302.39,D,334.55,0.92,0.6523251860396903,32.16,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.59252,80.60977,336.11,0.38,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,302.77,D,336.11,3.19,1.4327007339340463,33.34,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.59517,80.82677,344.09,0.38,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,307.19,D,344.09,24.38,3.2339614622862416,36.9,1,unknown,50000.0,0,Morning,Monsoon,8,Wildfire Risk
8.61153,80.51681,338.01,0.38,0.36,2026-08-31,807,N,VIIRS,l,2.0NRT,310.3,D,338.01,5.45,1.864080130807681,27.71,0,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.6128,80.70208,334.35,0.38,0.36,2026-08-31,807,N,VIIRS,l,2.0NRT,307.32,D,334.35,4.65,1.7316555451583497,27.03,0,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.6213,80.7978,348.51,0.38,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,306.04,D,348.51,6.63,2.0320878452963655,42.47,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.62135,80.97601,335.68,0.38,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,304.01,D,335.68,1.17,0.7747271675523681,31.67,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.62952,80.56754,333.65,0.38,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,303.3,D,333.65,3.18,1.430311246536665,30.35,1,unknown,50000.0,1,Morning,Monsoon,8,Agricultural Burning
8.63006,80.57103,332.78,0.38,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,301.35,D,332.78,2.36,1.2119409739751128,31.43,1,unknown,50000.0,1,Morning,Monsoon,8,Agricultural Burning
8.63045,80.70648,339.82,0.38,0.36,2026-08-31,807,N,VIIRS,l,2.0NRT,310.42,D,339.82,4.17,1.6428726885203377,29.4,0,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.63466,80.53464,338.93,0.38,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,306.44,D,338.93,3.24,1.4445632692438664,32.49,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.6401,80.65864,339.77,0.38,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,303.83,D,339.77,15.49,2.8027541365715076,35.94,1,unknown,50000.0,0,Morning,Monsoon,8,Wildfire Risk
8.65994,80.76608,334.64,0.38,0.36,2026-08-31,807,N,VIIRS,l,2.0NRT,305.82,D,334.64,2.09,1.128171090909654,28.82,0,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.67386,80.74609,338.19,0.38,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,307.61,D,338.19,6.91,2.0681277817795625,30.58,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.6821,80.75552,349.96,0.38,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,308.89,D,349.96,5.09,1.8066480817218056,41.07,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.78987,80.99559,343.59,0.38,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,307.86,D,343.59,12.29,2.587011872725154,35.73,1,unknown,50000.0,0,Morning,Monsoon,8,Wildfire Risk
8.85911,80.74155,349.7,0.38,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,311.49,D,349.7,16.02,2.834389123145228,38.21,1,unknown,50000.0,0,Morning,Monsoon,8,Wildfire Risk
